run_id,latent_dim,beta,kl_loss,recon_loss,n_active,active_ratio,mean_dim_var,max_dim_var,min_dim_var
ld64_b1.0_s0_20260308_100018,64,1.0,0.008249254897236824,0.03315991535782814,0,0.0,0.0001691390498308465,0.0002473475178703666,0.00010385682980995625
ld64_b1.0_s1_20260308_100151,64,1.0,0.007773089222609997,0.03295358642935753,0,0.0,0.00015838997205719352,0.00022232047922443599,0.00010757587006082758
ld64_b1.0_s2_20260308_100326,64,1.0,0.008285402320325375,0.0333687849342823,0,0.0,0.00016603390395175666,0.0002569418866187334,0.00010832047701114789
ld64_b2.0_s0_20260308_100501,64,2.0,0.008235489949584007,0.03316164389252663,0,0.0,0.0001688434713287279,0.0002463423297740519,0.0001036067187669687
ld64_b2.0_s1_20260308_100636,64,2.0,0.0077668349258601665,0.03295543044805527,0,0.0,0.00015828586765564978,0.00022238034580368549,0.00010732038936112076
ld64_b2.0_s2_20260308_100812,64,2.0,0.008274705149233341,0.03337029740214348,0,0.0,0.0001658457040321082,0.0002566778857726604,0.00010819699673447758
ld64_b4.0_s0_20260308_100946,64,4.0,0.008228851482272148,0.03316257894039154,0,0.0,0.00016872244304977357,0.0002457752707414329,0.0001036662288242951
ld64_b4.0_s1_20260308_101121,64,4.0,0.007765594869852066,0.03295624256134033,0,0.0,0.0001582836266607046,0.00022243741841521114,0.00010736049443949014
ld64_b4.0_s2_20260308_101257,64,4.0,0.008270193822681904,0.03337112069129944,0,0.0,0.0001657520333537832,0.0002567362389527261,0.00010785354970721528
ld8_b0.1_s0_20260308_083843,8,0.1,0.0028154440224170685,0.028426872566342354,0,0.0,0.0003124652139376849,0.00036862801061943173,0.00026280878228135407
ld8_b0.1_s1_20260308_084017,8,0.1,0.0028534377925097942,0.02819807454943657,0,0.0,0.00031170787406153977,0.0003599110641516745,0.0002837761421687901
ld8_b0.1_s2_20260308_084148,8,0.1,0.0028504845686256886,0.02819254621863365,0,0.0,0.0003192288859281689,0.0003664269170258194,0.0002794044848997146
ld8_b0.5_s0_20260308_084320,8,0.5,0.0013226758455857635,0.028482506051659584,0,0.0,0.00021215803280938417,0.00024916333495639265,0.00018128391820937395
ld8_b0.5_s1_20260308_084452,8,0.5,0.0014140437124297023,0.028241831809282303,0,0.0,0.00022500868362840265,0.00026885385159403086,0.00020027912978548557
ld8_b0.5_s2_20260308_084625,8,0.5,0.0014982398133724928,0.028235964477062225,0,0.0,0.0002400713274255395,0.00027161758043803275,0.00019009315292350948
ld8_b1.0_s0_20260308_084759,8,1.0,0.0012390362098813057,0.028492050245404243,0,0.0,0.0002042574342340231,0.00023858646454755217,0.00017683808982837945
ld8_b1.0_s1_20260308_084931,8,1.0,0.0013238480314612389,0.028249591588974,0,0.0,0.00021608361566904932,0.00026258573052473366,0.00019217250519432127
ld8_b1.0_s2_20260308_085103,8,1.0,0.0014216663548722863,0.028243092820048332,0,0.0,0.0002343115338589996,0.00026946107391268015,0.00018228936824016273
ld8_b2.0_s0_20260308_085235,8,2.0,0.0012176857562735677,0.028496747836470604,0,0.0,0.00020190140639897436,0.0002340799692319706,0.0001755437406245619
ld8_b2.0_s1_20260308_085423,8,2.0,0.001302669057622552,0.028253866359591484,0,0.0,0.00021418680262286216,0.0002611825766507536,0.00019103477825410664
ld8_b2.0_s2_20260308_085603,8,2.0,0.0013966357801109552,0.028246933594346046,0,0.0,0.00023218421847559512,0.0002685587387531996,0.00018008409824687988
ld8_b4.0_s0_20260308_085736,8,4.0,0.0012138118036091328,0.028499219566583633,0,0.0,0.00020131956262048334,0.00023236342531163245,0.00017511445912532508
ld8_b4.0_s1_20260308_085913,8,4.0,0.0012962223263457417,0.028255963698029518,0,0.0,0.00021357643709052354,0.0002620275190565735,0.00018948016804642975
ld8_b4.0_s2_20260308_090055,8,4.0,0.001389391371048987,0.028248948976397514,0,0.0,0.00023148287436924875,0.00026883743703365326,0.00017878817743621767
